rpu_code,rf_min_da_km,rf_split_flines_meters,rf_collapse_flines_meters,rf_collapse_flines_main_meters,agg_keep,agg_ideal_size_km,agg_min_size_km,agg_min_length_km
01a,20,10000,1000,1000,0.9,10,3,0.6
02a,20,10000,1000,1000,0.9,10,3,0.6
02b,20,10000,1000,1000,0.9,10,3,0.6
03a,20,10000,1000,1000,0.9,10,3,0.6
03b,20,10000,1000,1000,0.9,10,3,0.6
03c,20,10000,1000,1000,0.9,10,3,0.6
03d,20,10000,1000,1000,0.9,10,3,0.6
03e,20,10000,1000,1000,0.9,10,3,0.6
03f,20,10000,1000,1000,0.9,10,3,0.6
03g,20,10000,1000,1000,0.9,10,3,0.6
04a,20,10000,1000,1000,0.9,10,3,0.6
04b,20,10000,1000,1000,0.9,10,3,0.6
04c,20,10000,1000,1000,0.9,10,3,0.6
04d,20,10000,1000,1000,0.9,10,3,0.6
05a,20,10000,1000,1000,0.9,10,3,0.6
05b,20,10000,1000,1000,0.9,10,3,0.6
05c,20,10000,1000,1000,0.9,10,3,0.6
05d,20,10000,1000,1000,0.9,10,3,0.6
06a,20,10000,1000,1000,0.9,10,3,0.6
07a,20,10000,1000,1000,0.9,10,3,0.6
07b,20,10000,1000,1000,0.9,10,3,0.6
07c,20,10000,1000,1000,0.9,10,3,0.6
08a,20,10000,1000,1000,0.9,10,3,0.6
08b,20,10000,1000,1000,0.9,10,3,0.6
09a,20,10000,1000,1000,0.9,10,3,0.6
10a,20,10000,1000,1000,0.9,10,3,0.6
10b,20,10000,1000,1000,0.9,10,3,0.6
10c,20,10000,1000,1000,0.9,10,3,0.6
10d,20,10000,1000,1000,0.9,10,3,0.6
10e,20,10000,1000,1000,0.9,10,3,0.6
10f,20,10000,1000,1000,0.9,10,3,0.6
10g,20,10000,1000,1000,0.9,10,3,0.6
10h,20,10000,1000,1000,0.9,10,3,0.6
10i,20,10000,1000,1000,0.9,10,3,0.6
11a,20,10000,1000,1000,0.9,10,3,0.6
11b,20,10000,1000,1000,0.9,10,3,0.6
11c,20,10000,1000,1000,0.9,10,3,0.6
11d,20,10000,1000,1000,0.9,10,3,0.6
12a,20,10000,1000,1000,0.9,10,3,0.6
12b,20,10000,1000,1000,0.9,10,3,0.6
12c,20,10000,1000,1000,0.9,10,3,0.6
12d,20,10000,1000,1000,0.9,10,3,0.6
13a,20,10000,1000,1000,0.9,10,3,0.6
13b,20,10000,1000,1000,0.9,10,3,0.6
13c,20,10000,1000,1000,0.9,10,3,0.6
13d,20,10000,1000,1000,0.9,10,3,0.6
14a,20,10000,1000,1000,0.9,10,3,0.6
14b,20,10000,1000,1000,0.9,10,3,0.6
15a,20,10000,1000,1000,0.9,10,3,0.6
15b,20,10000,1000,1000,0.9,10,3,0.6
16a,20,10000,1000,1000,0.9,10,3,0.6
16b,20,10000,1000,1000,0.9,10,3,0.6
17a,20,10000,1000,1000,0.9,10,3,0.6
17b,20,10000,1000,1000,0.9,10,3,0.6
17c,20,10000,1000,1000,0.9,10,3,0.6
17d,20,10000,1000,1000,0.9,10,3,0.6
18a,20,10000,1000,1000,0.9,10,3,0.6
18b,20,10000,1000,1000,0.9,10,3,0.6
18c,20,10000,1000,1000,0.9,10,3,0.6
20a,20,10000,1000,1000,0.9,10,3,0.6
20b,20,10000,1000,1000,0.9,10,3,0.6
20c,20,10000,1000,1000,0.9,10,3,0.6
20d,20,10000,1000,1000,0.9,10,3,0.6
20e,20,10000,1000,1000,0.9,10,3,0.6
20f,20,10000,1000,1000,0.9,10,3,0.6
20g,20,10000,1000,1000,0.9,10,3,0.6
20h,20,10000,1000,1000,0.9,10,3,0.6
21a,20,10000,1000,1000,0.9,10,3,0.6
21b,20,10000,1000,1000,0.9,10,3,0.6
21c,20,10000,1000,1000,0.9,10,3,0.6
22a,20,10000,1000,1000,0.9,10,3,0.6
22b,20,10000,1000,1000,0.9,10,3,0.6
22c,20,10000,1000,1000,0.9,10,3,0.6
